dteday,season,weekday,workingday,casual,registered,cnt,season_map,week_map,workday_map
2011-01-01,1,6,0,331,654,985,Spring,Saturday,Holiday
2011-01-02,1,0,0,131,670,801,Spring,Sunday,Holiday
2011-01-03,1,1,1,120,1229,1349,Spring,Monday,Work
2011-01-04,1,2,1,108,1454,1562,Spring,Tuesday,Work
2011-01-05,1,3,1,82,1518,1600,Spring,Wednesday,Work
2011-01-06,1,4,1,88,1518,1606,Spring,Thursday,Work
2011-01-07,1,5,1,148,1362,1510,Spring,Friday,Work
2011-01-08,1,6,0,68,891,959,Spring,Saturday,Holiday
2011-01-09,1,0,0,54,768,822,Spring,Sunday,Holiday
2011-01-10,1,1,1,41,1280,1321,Spring,Monday,Work
2011-01-11,1,2,1,43,1220,1263,Spring,Tuesday,Work
2011-01-12,1,3,1,25,1137,1162,Spring,Wednesday,Work
2011-01-13,1,4,1,38,1368,1406,Spring,Thursday,Work
2011-01-14,1,5,1,54,1367,1421,Spring,Friday,Work
2011-01-15,1,6,0,222,1026,1248,Spring,Saturday,Holiday
2011-01-16,1,0,0,251,953,1204,Spring,Sunday,Holiday
2011-01-17,1,1,0,117,883,1000,Spring,Monday,Holiday
2011-01-18,1,2,1,9,674,683,Spring,Tuesday,Work
2011-01-19,1,3,1,78,1572,1650,Spring,Wednesday,Work
2011-01-20,1,4,1,83,1844,1927,Spring,Thursday,Work
2011-01-21,1,5,1,75,1468,1543,Spring,Friday,Work
2011-01-22,1,6,0,93,888,981,Spring,Saturday,Holiday
2011-01-23,1,0,0,150,836,986,Spring,Sunday,Holiday
2011-01-24,1,1,1,86,1330,1416,Spring,Monday,Work
2011-01-25,1,2,1,186,1799,1985,Spring,Tuesday,Work
2011-01-26,1,3,1,34,472,506,Spring,Wednesday,Work
2011-01-27,1,4,1,15,416,431,Spring,Thursday,Work
2011-01-28,1,5,1,38,1129,1167,Spring,Friday,Work
2011-01-29,1,6,0,123,975,1098,Spring,Saturday,Holiday
2011-01-30,1,0,0,140,956,1096,Spring,Sunday,Holiday
2011-01-31,1,1,1,42,1459,1501,Spring,Monday,Work
2011-02-01,1,2,1,47,1313,1360,Spring,Tuesday,Work
2011-02-02,1,3,1,72,1454,1526,Spring,Wednesday,Work
2011-02-03,1,4,1,61,1489,1550,Spring,Thursday,Work
2011-02-04,1,5,1,88,1620,1708,Spring,Friday,Work
2011-02-05,1,6,0,100,905,1005,Spring,Saturday,Holiday
2011-02-06,1,0,0,354,1269,1623,Spring,Sunday,Holiday
2011-02-07,1,1,1,120,1592,1712,Spring,Monday,Work
2011-02-08,1,2,1,64,1466,1530,Spring,Tuesday,Work
2011-02-09,1,3,1,53,1552,1605,Spring,Wednesday,Work
2011-02-10,1,4,1,47,1491,1538,Spring,Thursday,Work
2011-02-11,1,5,1,149,1597,1746,Spring,Friday,Work
2011-02-12,1,6,0,288,1184,1472,Spring,Saturday,Holiday
2011-02-13,1,0,0,397,1192,1589,Spring,Sunday,Holiday
2011-02-14,1,1,1,208,1705,1913,Spring,Monday,Work
2011-02-15,1,2,1,140,1675,1815,Spring,Tuesday,Work
2011-02-16,1,3,1,218,1897,2115,Spring,Wednesday,Work
2011-02-17,1,4,1,259,2216,2475,Spring,Thursday,Work
2011-02-18,1,5,1,579,2348,2927,Spring,Friday,Work
2011-02-19,1,6,0,532,1103,1635,Spring,Saturday,Holiday
2011-02-20,1,0,0,639,1173,1812,Spring,Sunday,Holiday
2011-02-21,1,1,0,195,912,1107,Spring,Monday,Holiday
2011-02-22,1,2,1,74,1376,1450,Spring,Tuesday,Work
2011-02-23,1,3,1,139,1778,1917,Spring,Wednesday,Work
2011-02-24,1,4,1,100,1707,1807,Spring,Thursday,Work
2011-02-25,1,5,1,120,1341,1461,Spring,Friday,Work
2011-02-26,1,6,0,424,1545,1969,Spring,Saturday,Holiday
2011-02-27,1,0,0,694,1708,2402,Spring,Sunday,Holiday
2011-02-28,1,1,1,81,1365,1446,Spring,Monday,Work
2011-03-01,1,2,1,137,1714,1851,Spring,Tuesday,Work
2011-03-02,1,3,1,231,1903,2134,Spring,Wednesday,Work
2011-03-03,1,4,1,123,1562,1685,Spring,Thursday,Work
2011-03-04,1,5,1,214,1730,1944,Spring,Friday,Work
2011-03-05,1,6,0,640,1437,2077,Spring,Saturday,Holiday
2011-03-06,1,0,0,114,491,605,Spring,Sunday,Holiday
2011-03-07,1,1,1,244,1628,1872,Spring,Monday,Work
2011-03-08,1,2,1,316,1817,2133,Spring,Tuesday,Work
2011-03-09,1,3,1,191,1700,1891,Spring,Wednesday,Work
2011-03-10,1,4,1,46,577,623,Spring,Thursday,Work
2011-03-11,1,5,1,247,1730,1977,Spring,Friday,Work
2011-03-12,1,6,0,724,1408,2132,Spring,Saturday,Holiday
2011-03-13,1,0,0,982,1435,2417,Spring,Sunday,Holiday
2011-03-14,1,1,1,359,1687,2046,Spring,Monday,Work
2011-03-15,1,2,1,289,1767,2056,Spring,Tuesday,Work
2011-03-16,1,3,1,321,1871,2192,Spring,Wednesday,Work
2011-03-17,1,4,1,424,2320,2744,Spring,Thursday,Work
2011-03-18,1,5,1,884,2355,3239,Spring,Friday,Work
2011-03-19,1,6,0,1424,1693,3117,Spring,Saturday,Holiday
2011-03-20,1,0,0,1047,1424,2471,Spring,Sunday,Holiday
2011-03-21,2,1,1,401,1676,2077,Summer,Monday,Work
2011-03-22,2,2,1,460,2243,2703,Summer,Tuesday,Work
2011-03-23,2,3,1,203,1918,2121,Summer,Wednesday,Work
2011-03-24,2,4,1,166,1699,1865,Summer,Thursday,Work
2011-03-25,2,5,1,300,1910,2210,Summer,Friday,Work
2011-03-26,2,6,0,981,1515,2496,Summer,Saturday,Holiday
2011-03-27,2,0,0,472,1221,1693,Summer,Sunday,Holiday
2011-03-28,2,1,1,222,1806,2028,Summer,Monday,Work
2011-03-29,2,2,1,317,2108,2425,Summer,Tuesday,Work
2011-03-30,2,3,1,168,1368,1536,Summer,Wednesday,Work
2011-03-31,2,4,1,179,1506,1685,Summer,Thursday,Work
2011-04-01,2,5,1,307,1920,2227,Summer,Friday,Work
2011-04-02,2,6,0,898,1354,2252,Summer,Saturday,Holiday
2011-04-03,2,0,0,1651,1598,3249,Summer,Sunday,Holiday
2011-04-04,2,1,1,734,2381,3115,Summer,Monday,Work
2011-04-05,2,2,1,167,1628,1795,Summer,Tuesday,Work
2011-04-06,2,3,1,413,2395,2808,Summer,Wednesday,Work
2011-04-07,2,4,1,571,2570,3141,Summer,Thursday,Work
2011-04-08,2,5,1,172,1299,1471,Summer,Friday,Work
2011-04-09,2,6,0,879,1576,2455,Summer,Saturday,Holiday
2011-04-10,2,0,0,1188,1707,2895,Summer,Sunday,Holiday
2011-04-11,2,1,1,855,2493,3348,Summer,Monday,Work
2011-04-12,2,2,1,257,1777,2034,Summer,Tuesday,Work
2011-04-13,2,3,1,209,1953,2162,Summer,Wednesday,Work
2011-04-14,2,4,1,529,2738,3267,Summer,Thursday,Work
2011-04-15,2,5,0,642,2484,3126,Summer,Friday,Holiday
2011-04-16,2,6,0,121,674,795,Summer,Saturday,Holiday
2011-04-17,2,0,0,1558,2186,3744,Summer,Sunday,Holiday
2011-04-18,2,1,1,669,2760,3429,Summer,Monday,Work
2011-04-19,2,2,1,409,2795,3204,Summer,Tuesday,Work
2011-04-20,2,3,1,613,3331,3944,Summer,Wednesday,Work
2011-04-21,2,4,1,745,3444,4189,Summer,Thursday,Work
2011-04-22,2,5,1,177,1506,1683,Summer,Friday,Work
2011-04-23,2,6,0,1462,2574,4036,Summer,Saturday,Holiday
2011-04-24,2,0,0,1710,2481,4191,Summer,Sunday,Holiday
2011-04-25,2,1,1,773,3300,4073,Summer,Monday,Work
2011-04-26,2,2,1,678,3722,4400,Summer,Tuesday,Work
2011-04-27,2,3,1,547,3325,3872,Summer,Wednesday,Work
2011-04-28,2,4,1,569,3489,4058,Summer,Thursday,Work
2011-04-29,2,5,1,878,3717,4595,Summer,Friday,Work
2011-04-30,2,6,0,1965,3347,5312,Summer,Saturday,Holiday
2011-05-01,2,0,0,1138,2213,3351,Summer,Sunday,Holiday
2011-05-02,2,1,1,847,3554,4401,Summer,Monday,Work
2011-05-03,2,2,1,603,3848,4451,Summer,Tuesday,Work
2011-05-04,2,3,1,255,2378,2633,Summer,Wednesday,Work
2011-05-05,2,4,1,614,3819,4433,Summer,Thursday,Work
2011-05-06,2,5,1,894,3714,4608,Summer,Friday,Work
2011-05-07,2,6,0,1612,3102,4714,Summer,Saturday,Holiday
2011-05-08,2,0,0,1401,2932,4333,Summer,Sunday,Holiday
2011-05-09,2,1,1,664,3698,4362,Summer,Monday,Work
2011-05-10,2,2,1,694,4109,4803,Summer,Tuesday,Work
2011-05-11,2,3,1,550,3632,4182,Summer,Wednesday,Work
2011-05-12,2,4,1,695,4169,4864,Summer,Thursday,Work
2011-05-13,2,5,1,692,3413,4105,Summer,Friday,Work
2011-05-14,2,6,0,902,2507,3409,Summer,Saturday,Holiday
2011-05-15,2,0,0,1582,2971,4553,Summer,Sunday,Holiday
2011-05-16,2,1,1,773,3185,3958,Summer,Monday,Work
2011-05-17,2,2,1,678,3445,4123,Summer,Tuesday,Work
2011-05-18,2,3,1,536,3319,3855,Summer,Wednesday,Work
2011-05-19,2,4,1,735,3840,4575,Summer,Thursday,Work
2011-05-20,2,5,1,909,4008,4917,Summer,Friday,Work
2011-05-21,2,6,0,2258,3547,5805,Summer,Saturday,Holiday
2011-05-22,2,0,0,1576,3084,4660,Summer,Sunday,Holiday
2011-05-23,2,1,1,836,3438,4274,Summer,Monday,Work
2011-05-24,2,2,1,659,3833,4492,Summer,Tuesday,Work
2011-05-25,2,3,1,740,4238,4978,Summer,Wednesday,Work
2011-05-26,2,4,1,758,3919,4677,Summer,Thursday,Work
2011-05-27,2,5,1,871,3808,4679,Summer,Friday,Work
2011-05-28,2,6,0,2001,2757,4758,Summer,Saturday,Holiday
2011-05-29,2,0,0,2355,2433,4788,Summer,Sunday,Holiday
2011-05-30,2,1,0,1549,2549,4098,Summer,Monday,Holiday
2011-05-31,2,2,1,673,3309,3982,Summer,Tuesday,Work
2011-06-01,2,3,1,513,3461,3974,Summer,Wednesday,Work
2011-06-02,2,4,1,736,4232,4968,Summer,Thursday,Work
2011-06-03,2,5,1,898,4414,5312,Summer,Friday,Work
2011-06-04,2,6,0,1869,3473,5342,Summer,Saturday,Holiday
2011-06-05,2,0,0,1685,3221,4906,Summer,Sunday,Holiday
2011-06-06,2,1,1,673,3875,4548,Summer,Monday,Work
2011-06-07,2,2,1,763,4070,4833,Summer,Tuesday,Work
2011-06-08,2,3,1,676,3725,4401,Summer,Wednesday,Work
2011-06-09,2,4,1,563,3352,3915,Summer,Thursday,Work
2011-06-10,2,5,1,815,3771,4586,Summer,Friday,Work
2011-06-11,2,6,0,1729,3237,4966,Summer,Saturday,Holiday
2011-06-12,2,0,0,1467,2993,4460,Summer,Sunday,Holiday
2011-06-13,2,1,1,863,4157,5020,Summer,Monday,Work
2011-06-14,2,2,1,727,4164,4891,Summer,Tuesday,Work
2011-06-15,2,3,1,769,4411,5180,Summer,Wednesday,Work
2011-06-16,2,4,1,545,3222,3767,Summer,Thursday,Work
2011-06-17,2,5,1,863,3981,4844,Summer,Friday,Work
2011-06-18,2,6,0,1807,3312,5119,Summer,Saturday,Holiday
2011-06-19,2,0,0,1639,3105,4744,Summer,Sunday,Holiday
2011-06-20,2,1,1,699,3311,4010,Summer,Monday,Work
2011-06-21,3,2,1,774,4061,4835,Fall,Tuesday,Work
2011-06-22,3,3,1,661,3846,4507,Fall,Wednesday,Work
2011-06-23,3,4,1,746,4044,4790,Fall,Thursday,Work
2011-06-24,3,5,1,969,4022,4991,Fall,Friday,Work
2011-06-25,3,6,0,1782,3420,5202,Fall,Saturday,Holiday
2011-06-26,3,0,0,1920,3385,5305,Fall,Sunday,Holiday
2011-06-27,3,1,1,854,3854,4708,Fall,Monday,Work
2011-06-28,3,2,1,732,3916,4648,Fall,Tuesday,Work
2011-06-29,3,3,1,848,4377,5225,Fall,Wednesday,Work
2011-06-30,3,4,1,1027,4488,5515,Fall,Thursday,Work
2011-07-01,3,5,1,1246,4116,5362,Fall,Friday,Work
2011-07-02,3,6,0,2204,2915,5119,Fall,Saturday,Holiday
2011-07-03,3,0,0,2282,2367,4649,Fall,Sunday,Holiday
2011-07-04,3,1,0,3065,2978,6043,Fall,Monday,Holiday
2011-07-05,3,2,1,1031,3634,4665,Fall,Tuesday,Work
2011-07-06,3,3,1,784,3845,4629,Fall,Wednesday,Work
2011-07-07,3,4,1,754,3838,4592,Fall,Thursday,Work
2011-07-08,3,5,1,692,3348,4040,Fall,Friday,Work
2011-07-09,3,6,0,1988,3348,5336,Fall,Saturday,Holiday
2011-07-10,3,0,0,1743,3138,4881,Fall,Sunday,Holiday
2011-07-11,3,1,1,723,3363,4086,Fall,Monday,Work
2011-07-12,3,2,1,662,3596,4258,Fall,Tuesday,Work
2011-07-13,3,3,1,748,3594,4342,Fall,Wednesday,Work
2011-07-14,3,4,1,888,4196,5084,Fall,Thursday,Work
2011-07-15,3,5,1,1318,4220,5538,Fall,Friday,Work
2011-07-16,3,6,0,2418,3505,5923,Fall,Saturday,Holiday
2011-07-17,3,0,0,2006,3296,5302,Fall,Sunday,Holiday
2011-07-18,3,1,1,841,3617,4458,Fall,Monday,Work
2011-07-19,3,2,1,752,3789,4541,Fall,Tuesday,Work
2011-07-20,3,3,1,644,3688,4332,Fall,Wednesday,Work
2011-07-21,3,4,1,632,3152,3784,Fall,Thursday,Work
2011-07-22,3,5,1,562,2825,3387,Fall,Friday,Work
2011-07-23,3,6,0,987,2298,3285,Fall,Saturday,Holiday
2011-07-24,3,0,0,1050,2556,3606,Fall,Sunday,Holiday
2011-07-25,3,1,1,568,3272,3840,Fall,Monday,Work
2011-07-26,3,2,1,750,3840,4590,Fall,Tuesday,Work
2011-07-27,3,3,1,755,3901,4656,Fall,Wednesday,Work
2011-07-28,3,4,1,606,3784,4390,Fall,Thursday,Work
2011-07-29,3,5,1,670,3176,3846,Fall,Friday,Work
2011-07-30,3,6,0,1559,2916,4475,Fall,Saturday,Holiday
2011-07-31,3,0,0,1524,2778,4302,Fall,Sunday,Holiday
2011-08-01,3,1,1,729,3537,4266,Fall,Monday,Work
2011-08-02,3,2,1,801,4044,4845,Fall,Tuesday,Work
2011-08-03,3,3,1,467,3107,3574,Fall,Wednesday,Work
2011-08-04,3,4,1,799,3777,4576,Fall,Thursday,Work
2011-08-05,3,5,1,1023,3843,4866,Fall,Friday,Work
2011-08-06,3,6,0,1521,2773,4294,Fall,Saturday,Holiday
2011-08-07,3,0,0,1298,2487,3785,Fall,Sunday,Holiday
2011-08-08,3,1,1,846,3480,4326,Fall,Monday,Work
2011-08-09,3,2,1,907,3695,4602,Fall,Tuesday,Work
2011-08-10,3,3,1,884,3896,4780,Fall,Wednesday,Work
2011-08-11,3,4,1,812,3980,4792,Fall,Thursday,Work
2011-08-12,3,5,1,1051,3854,4905,Fall,Friday,Work
2011-08-13,3,6,0,1504,2646,4150,Fall,Saturday,Holiday
2011-08-14,3,0,0,1338,2482,3820,Fall,Sunday,Holiday
2011-08-15,3,1,1,775,3563,4338,Fall,Monday,Work
2011-08-16,3,2,1,721,4004,4725,Fall,Tuesday,Work
2011-08-17,3,3,1,668,4026,4694,Fall,Wednesday,Work
2011-08-18,3,4,1,639,3166,3805,Fall,Thursday,Work
2011-08-19,3,5,1,797,3356,4153,Fall,Friday,Work
2011-08-20,3,6,0,1914,3277,5191,Fall,Saturday,Holiday
2011-08-21,3,0,0,1249,2624,3873,Fall,Sunday,Holiday
2011-08-22,3,1,1,833,3925,4758,Fall,Monday,Work
2011-08-23,3,2,1,1281,4614,5895,Fall,Tuesday,Work
2011-08-24,3,3,1,949,4181,5130,Fall,Wednesday,Work
2011-08-25,3,4,1,435,3107,3542,Fall,Thursday,Work
2011-08-26,3,5,1,768,3893,4661,Fall,Friday,Work
2011-08-27,3,6,0,226,889,1115,Fall,Saturday,Holiday
2011-08-28,3,0,0,1415,2919,4334,Fall,Sunday,Holiday
2011-08-29,3,1,1,729,3905,4634,Fall,Monday,Work
2011-08-30,3,2,1,775,4429,5204,Fall,Tuesday,Work
2011-08-31,3,3,1,688,4370,5058,Fall,Wednesday,Work
2011-09-01,3,4,1,783,4332,5115,Fall,Thursday,Work
2011-09-02,3,5,1,875,3852,4727,Fall,Friday,Work
2011-09-03,3,6,0,1935,2549,4484,Fall,Saturday,Holiday
2011-09-04,3,0,0,2521,2419,4940,Fall,Sunday,Holiday
2011-09-05,3,1,0,1236,2115,3351,Fall,Monday,Holiday
2011-09-06,3,2,1,204,2506,2710,Fall,Tuesday,Work
2011-09-07,3,3,1,118,1878,1996,Fall,Wednesday,Work
2011-09-08,3,4,1,153,1689,1842,Fall,Thursday,Work
2011-09-09,3,5,1,417,3127,3544,Fall,Friday,Work
2011-09-10,3,6,0,1750,3595,5345,Fall,Saturday,Holiday
2011-09-11,3,0,0,1633,3413,5046,Fall,Sunday,Holiday
2011-09-12,3,1,1,690,4023,4713,Fall,Monday,Work
2011-09-13,3,2,1,701,4062,4763,Fall,Tuesday,Work
2011-09-14,3,3,1,647,4138,4785,Fall,Wednesday,Work
2011-09-15,3,4,1,428,3231,3659,Fall,Thursday,Work
2011-09-16,3,5,1,742,4018,4760,Fall,Friday,Work
2011-09-17,3,6,0,1434,3077,4511,Fall,Saturday,Holiday
2011-09-18,3,0,0,1353,2921,4274,Fall,Sunday,Holiday
2011-09-19,3,1,1,691,3848,4539,Fall,Monday,Work
2011-09-20,3,2,1,438,3203,3641,Fall,Tuesday,Work
2011-09-21,3,3,1,539,3813,4352,Fall,Wednesday,Work
2011-09-22,3,4,1,555,4240,4795,Fall,Thursday,Work
2011-09-23,4,5,1,258,2137,2395,Winter,Friday,Work
2011-09-24,4,6,0,1776,3647,5423,Winter,Saturday,Holiday
2011-09-25,4,0,0,1544,3466,5010,Winter,Sunday,Holiday
2011-09-26,4,1,1,684,3946,4630,Winter,Monday,Work
2011-09-27,4,2,1,477,3643,4120,Winter,Tuesday,Work
2011-09-28,4,3,1,480,3427,3907,Winter,Wednesday,Work
2011-09-29,4,4,1,653,4186,4839,Winter,Thursday,Work
2011-09-30,4,5,1,830,4372,5202,Winter,Friday,Work
2011-10-01,4,6,0,480,1949,2429,Winter,Saturday,Holiday
2011-10-02,4,0,0,616,2302,2918,Winter,Sunday,Holiday
2011-10-03,4,1,1,330,3240,3570,Winter,Monday,Work
2011-10-04,4,2,1,486,3970,4456,Winter,Tuesday,Work
2011-10-05,4,3,1,559,4267,4826,Winter,Wednesday,Work
2011-10-06,4,4,1,639,4126,4765,Winter,Thursday,Work
2011-10-07,4,5,1,949,4036,4985,Winter,Friday,Work
2011-10-08,4,6,0,2235,3174,5409,Winter,Saturday,Holiday
2011-10-09,4,0,0,2397,3114,5511,Winter,Sunday,Holiday
2011-10-10,4,1,0,1514,3603,5117,Winter,Monday,Holiday
2011-10-11,4,2,1,667,3896,4563,Winter,Tuesday,Work
2011-10-12,4,3,1,217,2199,2416,Winter,Wednesday,Work
2011-10-13,4,4,1,290,2623,2913,Winter,Thursday,Work
2011-10-14,4,5,1,529,3115,3644,Winter,Friday,Work
2011-10-15,4,6,0,1899,3318,5217,Winter,Saturday,Holiday
2011-10-16,4,0,0,1748,3293,5041,Winter,Sunday,Holiday
2011-10-17,4,1,1,713,3857,4570,Winter,Monday,Work
2011-10-18,4,2,1,637,4111,4748,Winter,Tuesday,Work
2011-10-19,4,3,1,254,2170,2424,Winter,Wednesday,Work
2011-10-20,4,4,1,471,3724,4195,Winter,Thursday,Work
2011-10-21,4,5,1,676,3628,4304,Winter,Friday,Work
2011-10-22,4,6,0,1499,2809,4308,Winter,Saturday,Holiday
2011-10-23,4,0,0,1619,2762,4381,Winter,Sunday,Holiday
2011-10-24,4,1,1,699,3488,4187,Winter,Monday,Work
2011-10-25,4,2,1,695,3992,4687,Winter,Tuesday,Work
2011-10-26,4,3,1,404,3490,3894,Winter,Wednesday,Work
2011-10-27,4,4,1,240,2419,2659,Winter,Thursday,Work
2011-10-28,4,5,1,456,3291,3747,Winter,Friday,Work
2011-10-29,4,6,0,57,570,627,Winter,Saturday,Holiday
2011-10-30,4,0,0,885,2446,3331,Winter,Sunday,Holiday
2011-10-31,4,1,1,362,3307,3669,Winter,Monday,Work
2011-11-01,4,2,1,410,3658,4068,Winter,Tuesday,Work
2011-11-02,4,3,1,370,3816,4186,Winter,Wednesday,Work
2011-11-03,4,4,1,318,3656,3974,Winter,Thursday,Work
2011-11-04,4,5,1,470,3576,4046,Winter,Friday,Work
2011-11-05,4,6,0,1156,2770,3926,Winter,Saturday,Holiday
2011-11-06,4,0,0,952,2697,3649,Winter,Sunday,Holiday
2011-11-07,4,1,1,373,3662,4035,Winter,Monday,Work
2011-11-08,4,2,1,376,3829,4205,Winter,Tuesday,Work
2011-11-09,4,3,1,305,3804,4109,Winter,Wednesday,Work
2011-11-10,4,4,1,190,2743,2933,Winter,Thursday,Work
2011-11-11,4,5,0,440,2928,3368,Winter,Friday,Holiday
2011-11-12,4,6,0,1275,2792,4067,Winter,Saturday,Holiday
2011-11-13,4,0,0,1004,2713,3717,Winter,Sunday,Holiday
2011-11-14,4,1,1,595,3891,4486,Winter,Monday,Work
2011-11-15,4,2,1,449,3746,4195,Winter,Tuesday,Work
2011-11-16,4,3,1,145,1672,1817,Winter,Wednesday,Work
2011-11-17,4,4,1,139,2914,3053,Winter,Thursday,Work
2011-11-18,4,5,1,245,3147,3392,Winter,Friday,Work
2011-11-19,4,6,0,943,2720,3663,Winter,Saturday,Holiday
2011-11-20,4,0,0,787,2733,3520,Winter,Sunday,Holiday
2011-11-21,4,1,1,220,2545,2765,Winter,Monday,Work
2011-11-22,4,2,1,69,1538,1607,Winter,Tuesday,Work
2011-11-23,4,3,1,112,2454,2566,Winter,Wednesday,Work
2011-11-24,4,4,0,560,935,1495,Winter,Thursday,Holiday
2011-11-25,4,5,1,1095,1697,2792,Winter,Friday,Work
2011-11-26,4,6,0,1249,1819,3068,Winter,Saturday,Holiday
2011-11-27,4,0,0,810,2261,3071,Winter,Sunday,Holiday
2011-11-28,4,1,1,253,3614,3867,Winter,Monday,Work
2011-11-29,4,2,1,96,2818,2914,Winter,Tuesday,Work
2011-11-30,4,3,1,188,3425,3613,Winter,Wednesday,Work
2011-12-01,4,4,1,182,3545,3727,Winter,Thursday,Work
2011-12-02,4,5,1,268,3672,3940,Winter,Friday,Work
2011-12-03,4,6,0,706,2908,3614,Winter,Saturday,Holiday
2011-12-04,4,0,0,634,2851,3485,Winter,Sunday,Holiday
2011-12-05,4,1,1,233,3578,3811,Winter,Monday,Work
2011-12-06,4,2,1,126,2468,2594,Winter,Tuesday,Work
2011-12-07,4,3,1,50,655,705,Winter,Wednesday,Work
2011-12-08,4,4,1,150,3172,3322,Winter,Thursday,Work
2011-12-09,4,5,1,261,3359,3620,Winter,Friday,Work
2011-12-10,4,6,0,502,2688,3190,Winter,Saturday,Holiday
2011-12-11,4,0,0,377,2366,2743,Winter,Sunday,Holiday
2011-12-12,4,1,1,143,3167,3310,Winter,Monday,Work
2011-12-13,4,2,1,155,3368,3523,Winter,Tuesday,Work
2011-12-14,4,3,1,178,3562,3740,Winter,Wednesday,Work
2011-12-15,4,4,1,181,3528,3709,Winter,Thursday,Work
2011-12-16,4,5,1,178,3399,3577,Winter,Friday,Work
2011-12-17,4,6,0,275,2464,2739,Winter,Saturday,Holiday
2011-12-18,4,0,0,220,2211,2431,Winter,Sunday,Holiday
2011-12-19,4,1,1,260,3143,3403,Winter,Monday,Work
2011-12-20,4,2,1,216,3534,3750,Winter,Tuesday,Work
2011-12-21,1,3,1,107,2553,2660,Spring,Wednesday,Work
2011-12-22,1,4,1,227,2841,3068,Spring,Thursday,Work
2011-12-23,1,5,1,163,2046,2209,Spring,Friday,Work
2011-12-24,1,6,0,155,856,1011,Spring,Saturday,Holiday
2011-12-25,1,0,0,303,451,754,Spring,Sunday,Holiday
2011-12-26,1,1,0,430,887,1317,Spring,Monday,Holiday
2011-12-27,1,2,1,103,1059,1162,Spring,Tuesday,Work
2011-12-28,1,3,1,255,2047,2302,Spring,Wednesday,Work
2011-12-29,1,4,1,254,2169,2423,Spring,Thursday,Work
2011-12-30,1,5,1,491,2508,2999,Spring,Friday,Work
2011-12-31,1,6,0,665,1820,2485,Spring,Saturday,Holiday
